"BI Norwegian Business School","Oslo,Norway"
"Beijing Jiaotong University","Beijing,China"
"Ca’ Foscari University","Venice,Italy"
"Copenhagen Business School (CBS)","Copenhagen,Denmark"
"EDHEC Business School","Lille & Nice,France"
"ESSEC Business School, Clergy-Pontoise","Cergy,France"
"ESSEC Business School, Singapore","Singapore,Singapore"
"Ecole de Management Lyon (EM Lyon)","Lyon,France"
"Ecole de Management Strasbourg (EM Strasbourg)","Strasbourg,France"
"European Business School (EBS)","Oestrich-Winkel,Germany"
"Fundação Getúlio Vargas (FGV) EBAPE","Rio de Janerio,Brazil"
"Guanghua School of Management, Peking University","Beijing,China"
"HEC Lausanne – TAMU","Lausanne,Switzerland"
"Hanken School of Economics","Helsinki,Finland"
"Hong Kong University of Science & Technology (HKUST)","Hong Kong,China"
"Instituto Tecnológico y de Estudio Superiores de Monterrey (ITESM) – TAMU","Monterrey,Mexico"
"Jönköping International Business School (JIBS)","Jönköping,Sweden"
"Lancaster University","Lancaster,United Kingdom"
"Maastricht University","Maastricht,The Netherlands"
"Management Center Innsbruck","Innsbruck,Austria"
"National Chengchi University (NCCU)","Taipei,Taiwan"
"National University of Singapore – TAMU","Singapore,Singapore"
"Osaka University – TAMU","Osaka,Japan"
"Prague University of Economics and Business","Prague,Czech Republic"
"Queensland University of Technology","Brisbane,Australia"
"SDM Institute of Management Development (SDMIMD)","Mysore,India"
"Sharjah University – TAMU","Sharjah,United Arab Emirates"
"Soonchunhyang University – TAMU","Seoul,South Korea"
"Technische Universitat Dortmund University – TAMU","Dortmund,Germany"
"Tsinghua University School of Economics and Management","Beijing,China"
"Universidad Carlos III de Madrid","Madrid,Spain"
"Universidad San Francisco de Quito (USFQ) – TAMU","Quito,Ecuador"
"Universidad de Córdoba – TAMU","Córdoba,Spain"
"Universidad del Salvador (USAL)","Buenos Aires,Argentina"
"Universitat Pompeu Fabra","Barcelona,Spain"
"Universite de Lausanne – TAMU","Lausanne,Switzerland"
"University of Adelaide – TAMU","Adelaide,Australia"
"University of Economics in Bratislava","Bratislava,Slovakia"
"University of Jaen","Jaen,Spain"
"University of Liege","Liege,Belgium"
"University of Limerick","Limerick,Ireland"
"University of Nottingham, Malaysia","Semenyih,Malaysia"
"University of Nottingham, Ningbo","Ningbo,China"
"University of Nottingham, UK","Nottingham,United Kingdom"
"University of Sydney – TAMU","Sydney,Australia"
"Università Commerciale Luigi Bocconi","Milan,Italy"
"Universität Hohenheim – TAMU","Stuttgart,Germany"
"Universität Tübingen – TAMU","Tübingen,Germany"
"Université de Caen – TAMU","Caen,France"
"Victoria University of Wellington – TAMU","Wellington,New Zealand"
"Vienna University of Economics & Business (WU Wien)","Vienna,Austria"
"WHU Otto Beisheim School of Management","Vallendar,Germany"